"filename", "language", "Python", "YAML", "Docker", "TOML", "Markdown", "pip requirements", "MS SQL", "comment", "blank", "total"
"/home/romanov-d/code/education/virtmanager/src/database/crud_queries/disconnect_from_machine.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/romanov-d/code/education/virtmanager/src/database/crud_queries/get_user_by_username.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"/home/romanov-d/code/education/virtmanager/src/database/crud_queries/grant_user_access.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/romanov-d/code/education/virtmanager/src/database/crud_queries/revoke_user_access.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/romanov-d/code/education/virtmanager/src/database/crud_queries/seed.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 17, 0, 5, 22
"/home/romanov-d/code/education/virtmanager/src/database/manager.py", "Python", 129, 0, 0, 0, 0, 0, 0, 0, 33, 162
"/home/romanov-d/code/education/virtmanager/src/database/monitor.py", "Python", 133, 0, 0, 0, 0, 0, 0, 0, 36, 169
"/home/romanov-d/code/education/virtmanager/src/enums.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 8, 18
"/home/romanov-d/code/education/virtmanager/src/exceptions/__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/romanov-d/code/education/virtmanager/src/exceptions/auth.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 7, 18
"/home/romanov-d/code/education/virtmanager/src/exceptions/database.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 10, 26
"/home/romanov-d/code/education/virtmanager/src/machine/__init__.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/romanov-d/code/education/virtmanager/src/machine/creator.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 22, 89
"/home/romanov-d/code/education/virtmanager/src/machine/product.py", "Python", 109, 0, 0, 0, 0, 0, 0, 0, 40, 149
"/home/romanov-d/code/education/virtmanager/src/schemas/__init__.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/romanov-d/code/education/virtmanager/src/schemas/machine.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 23, 75
"/home/romanov-d/code/education/virtmanager/src/schemas/user.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 15, 42
"/home/romanov-d/code/education/virtmanager/src/utils.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 9, 26
"/home/romanov-d/code/education/virtmanager/tests/conftest.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/home/romanov-d/code/education/virtmanager/tests/unit/database/test_database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/romanov-d/code/education/virtmanager/tests/unit/test_auth.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 11, 44
"Total", "-", 1471, 131, 7, 990, 1, 40, 319, 8, 659, 3626
